photoId,fileName,originalName,mimeType,encoding,size,isPrivate,views,likes,downloaded,starRating,cameraMake,shutterSpeed,aperture,focalLength,iso
1,feb85311-19a4-4e00-afba-275537d65951,CubiliaCuraeMauris.mov,video/quicktime,base64,3291272,true,621,18,14,3,Toyota,8,f/4,20 mm,800
2,ea1755b4-8ca8-4e7c-9869-c3eb51328007,EgetTincidunt.pdf,application/pdf,base64,3300597,true,296,37,13,2,Kia,1/8,f/10,200 mm,200
3,8721015e-d0d2-4044-a9a8-467bca0790cc,Nisl.mp3,video/mpeg,base64,2938436,false,609,45,11,2,Mitsubishi,2,f/8,200 mm,800
4,4063c0c7-f031-4eed-a080-428b8b578bfa,EratVestibulumSed.gif,image/gif,base64,2277542,true,698,43,1,4,Mercury,1/4,f/3.5,24 mm,800
5,428faca6-aac5-4262-9bb7-79fa794ca0ef,DuisAt.ppt,application/x-mspowerpoint,base64,4049547,false,5,17,5,3,Saturn,15,f/7.1,28 mm,1600
6,97cb7d5f-6f45-4402-8dc5-d394fd12983f,LuctusNec.png,image/png,base64,2932151,false,833,42,3,5,BMW,1/4000,f/11,85 mm,400
7,b31415f7-8f18-4ef8-a060-78fe20919189,VestibulumQuam.mp3,video/mpeg,base64,3861244,false,938,48,14,1,Saab,1/250,f/5.6,200 mm,3200
8,d78cfca9-6e2d-44f1-80d5-4c26f3011f90,MontesNascetur.mp3,video/x-mpeg,base64,3979432,false,474,33,9,5,Pontiac,1/2,f/11,50 mm,1600
9,eba2fcbb-d3c0-41db-a8ae-06e5ff6f9b02,Orci.ppt,application/powerpoint,base64,3426848,false,411,14,4,4,GMC,1/15,f/1.8,135 mm,6400
10,dc1feaed-4df9-46ee-9155-8abe61a055d7,Integer.xls,application/x-msexcel,base64,3343410,true,258,4,20,0,Mercury,1/2000,f/2.2,28 mm,400
11,12e3b9c5-5f2f-4dde-a3a2-a8655dd35ce6,AliquetMaecenasLeo.txt,text/plain,base64,4117592,false,650,34,19,0,Mazda,1/15,f/3.2,200 mm,100
12,681663c6-ac68-4d3a-977a-3638ac21fa50,Diam.ppt,application/vnd.ms-powerpoint,base64,3777338,false,451,17,6,5,Infiniti,2,f/7.1,135 mm,400
13,657dbe33-a84d-42a2-bce0-e675837def42,IaculisCongue.avi,video/msvideo,base64,3799599,true,831,9,19,3,Scion,15,f/9,24 mm,1600
14,9d06c8a6-b88f-42bb-974a-83d693b578e1,FusceCongueDiam.doc,application/msword,base64,4047260,false,113,22,0,0,Porsche,1/30,f/2.2,28 mm,100
15,4e9c3fea-1326-4d4a-8d3e-e35c0e869184,LobortisConvallisTortor.mpeg,video/mpeg,base64,2240328,false,37,15,12,5,Dodge,1/250,f/5.6,105 mm,800
16,ae67d45c-074d-44c7-97dc-e1147ad655ac,ConvallisEget.txt,text/plain,base64,2332363,false,529,5,4,1,Saab,15,f/2.2,85 mm,800
17,3049fd2c-db03-4575-9937-7c34cd963c64,TurpisNecEuismod.avi,video/msvideo,base64,3066370,false,49,24,17,3,Volvo,1/60,f/3.5,28 mm,6400
18,430f2758-8fc0-4603-8fe4-cf900ddddeba,AugueVelAccumsan.xls,application/excel,base64,3562693,true,779,44,1,0,GMC,30,f/8,85 mm,400
19,d323b6d8-690a-42f4-aeaa-a723120750b4,Id.jpeg,image/jpeg,base64,3538240,false,963,25,16,3,Porsche,1/2,f/8,85 mm,3200
20,39a515a2-2393-4f61-8ce5-8cb7dfc15e7d,LigulaSuspendisse.mp3,audio/x-mpeg-3,base64,3929963,false,352,24,6,0,Nissan,1/125,f/6.3,85 mm,400
21,792023de-5336-4197-820f-e51c36f0a71c,DuisConsequat.tiff,image/x-tiff,base64,3623411,true,877,39,9,0,Pontiac,4,f/4,28 mm,400
22,68b50368-4b8f-4813-ba9c-63a81caf86e7,VestibulumProin.jpeg,image/jpeg,base64,3678147,false,572,22,12,2,Pontiac,30,f/5.6,200 mm,3200
23,20e4dcbb-348c-4154-be1c-cee759b76214,Sapien.mp3,audio/mpeg3,base64,4135065,true,87,48,9,3,Nissan,1/2000,f/2.5,28 mm,100
24,0ff5670c-e404-4968-aeb6-9c46a8773c21,VestibulumAnte.mp3,audio/x-mpeg-3,base64,3747610,false,240,6,13,2,Chevrolet,4,f/6.3,85 mm,3200
25,5b862b02-aa1e-403a-b76c-22f8510978da,FelisEuSapien.txt,text/plain,base64,2894469,true,44,5,1,3,Audi,1/4,f/5.6,20 mm,6400
26,240d0cbc-0794-42e1-9fcf-db24b330d3f4,Ante.ppt,application/powerpoint,base64,2371699,false,833,48,11,0,Ford,1/1000,f/6.3,135 mm,1600
27,cacf9664-65a4-4ea4-927b-a700e44f1f17,Dapibus.jpeg,image/pjpeg,base64,3936887,false,671,41,5,0,Volkswagen,1/4,f/6.3,28 mm,1600
28,44f5b8a3-49a1-42a9-8e34-9eac25e48e60,Tincidunt.tiff,image/x-tiff,base64,3276461,true,607,0,7,2,Subaru,15,f/11,35 mm,400
29,e139ddae-d08a-4e95-b68d-2329121ee9b2,NequeSapien.gif,image/gif,base64,3404975,true,26,31,15,0,Dodge,4,f/4.5,85 mm,100
30,0b0479eb-7071-4f04-8a0a-20d82dcde4c6,EgetErosElementum.ppt,application/powerpoint,base64,3786304,false,392,23,9,1,Acura,1/15,f/2.2,35 mm,3200
31,b200b91a-f9bf-4a8e-b7ba-a3c8fd10ea4a,EratQuisqueErat.xls,application/x-excel,base64,3563053,false,1000,35,5,1,Pontiac,8,f/10,28 mm,3200
32,ad2f0f57-6601-463d-bd0a-6cd8c8ebc852,Convallis.ppt,application/mspowerpoint,base64,3210907,true,485,40,16,0,Chevrolet,4,f/8,24 mm,1600
33,756baeee-b1e6-455b-8ba8-2ccbf3f4122e,NullamVarius.avi,video/msvideo,base64,2677099,false,588,22,19,5,Pontiac,1/15,f/4,20 mm,100
34,f74dfa91-5515-413d-8ce0-5cf6f3aedeab,CurabiturAt.ppt,application/x-mspowerpoint,base64,2952269,true,259,19,4,1,Buick,1/2000,f/3.2,105 mm,800
35,8856bff8-e627-4f70-b5c0-f94778deff06,Cras.png,image/png,base64,3291323,true,388,22,18,2,Mercedes-Benz,1/4000,f/2.5,200 mm,200
36,2c847e43-6031-4274-baf7-522a8305cb8a,Rutrum.mp3,audio/x-mpeg-3,base64,3678298,false,299,37,14,2,Nissan,1/4000,f/11,40 mm,400
